Aff,Neg,Judges,Votes,Win
Archbishop Mitty KC,Emerald RH,Anne Rucker Maeve Goldman Jordan Berry,Neg Aff Aff,2-1 AFF
Lakeville North WK,McLean KR,Edwin Cho Sangeeta Prasad Charles Liang,Neg Aff Neg,2-1 NEG
Acton-Boxborough ES,Christopher Columbus RC,Kenny Qiu Priya Meyyappan Aarti Thacker,Neg Aff Aff,2-1 AFF
NS Independent CK,Jellyfish Independent WZ,Nitika Kaushal MaryAlice LeDuc Panayiotis Papaioannou,Aff Aff Neg,2-1 AFF
Lincoln-Sudbury KS,Saratoga LJ,Chaithanya Narina Yinyin Wright Harinder Bajwa,Aff Neg Aff,2-1 AFF
Pittsburgh Central Catholic DN,Lexington BB,Emma Golden Leo Hao Raymond Ma,Aff Neg Aff,2-1 AFF
Independent Hamilton GD,McLean TL,Abhilash Datti Jing Yang Henry Anastasi-Scott,Aff Neg Neg,2-1 NEG
Archbishop Mitty NV,Hunter SA,Andy Zhang Razeen Nasar William Guo,Aff Aff Aff,3-0 AFF
Robinson BV,Taipei American LP,Kitiny Phumchun Pranav Kallavi Hailey Jephcott,Aff Aff Aff,3-0 AFF
Eden Prairie VD,Milpitas XP,Dawn Paciotti Tesfamichael Mehari Aryan Sethi,Neg Aff Neg,2-1 NEG
Mission San Jose BP,CR North AA,Isaac Ebbin Vina Hung Venkat Gokaraju,Aff Aff Aff,3-0 AFF
Paul Laurence Dunbar VM,Arlington BR,Stephanie Borunda Ohm Anandam Geeta Yadav,Neg Aff Aff,2-1 AFF
Legacy Prep VZ,Acton-Boxborough SV,Yasmine Kahtane Matthew Koretsky Ahmad Elassaad,Aff Aff Aff,3-0 AFF
Theodore Roosevelt HB,Robinson MW,Jim Zhang Srimanta Pradhan Vineetha Gambhir,Aff Neg Aff,2-1 AFF
Unionville MC,Jellyfish Independent YF,Jamie Corcoran Lydia Magalhaes Jason Rinn,Neg Neg Neg,3-0 NEG
Thomas Wootton Independent PL,Bergen County Academies LW,Yuvraj Toor Teresa Levin Kailey Mgrdichian,Neg Aff Aff,2-1 AFF
Delbarton CD,Brother Rice BS,Aung Naing Chen Zhao Erela Datuowei,Aff Neg Aff,2-1 AFF
Bellarmine KE,Ridge LO,Janakiraman Chandravadhanam Kalyani Nallapaneni Ramesh Jetty,Neg Neg Neg,3-0 NEG
Awty Honors Independent BX,McLean HL,Adam Wang Gist Croft Xudong Zheng,Aff Neg Aff,2-1 AFF
Monte Vista HS Independent GV,Potomac MS,Karissa Kromminga Charlie Yeh Avital Nozic,Neg Neg Neg,3-0 NEG
Arlington MC,Stratford WW,Hector Ayala Yanan Wu Brian Manuel,Neg Neg Neg,3-0 NEG
NS Independent WT,National Debate Club (NDC) PH,Nagraj Seshadri Mahima Pathak Leif Emery,Aff Neg Neg,2-1 NEG
Horace Mann SM,Ransom Everglades SG,Dhruv Prakash Brooke Meints David Brown,Aff Aff Aff,3-0 AFF
BASIS Peoria KC,Monte Vista HS Independent BM,Kelly Hager Lin Ling austin she,Neg Aff Aff,2-1 AFF
Madison West BB,Millburn SK,Sherry Huang Kai Brady Adam Stano,Neg Aff Neg,2-1 NEG
ModernBrain ZL,College Prep BD,Hyuna Kim John Glass Bastian Wibowo,Aff Neg Neg,2-1 NEG
Newton North ZA,Solon HS Independant PW,Theo Kurland Victor Chen Elisa Liang,Neg Aff Aff,2-1 AFF
Summit AH,BASIS Phoenix PG,Sundeep Deorah Zhiying Hu Deanna Ma,Aff Aff Neg,2-1 AFF
Orca Independent PR,Jellyfish Independent LW,Nirmala Kummathi Imaya Kumar Jagannathan Anas Baker,Neg Aff Neg,2-1 NEG
Dougherty Valley KK,George Washington SS,Gia Patel Sachin Letchumanan Samantha Gerber,Aff Aff Aff,3-0 AFF
Potomac AL,Delbarton SA,Jason Barton Idris Ibrahim Wei Feng,Neg Aff Aff,2-1 AFF
Taipei American LeLe,Mountain Brook MH,Charlie Synn Liya Khan Yuling Wang,Aff Aff Aff,3-0 AFF
Potomac NL,Bergen YL,Kyle Watkins Joanna Gorin Suhaas Valiveti,Neg Aff Neg,2-1 NEG
Equality Independent ND,Dougherty Valley BT,Alexander Tivlumun Austin Kelachukwu Nina Deng,Neg Neg Neg,3-0 NEG
Horace Mann AD,McLean CL,Cruz Castillo Emma Schaible Kevin Ryu,Neg Neg Aff,2-1 NEG
Bergen LC,Scarsdale PA,Harsh Walia Julio Cordero Aiden D'Souza,Aff Aff Aff,3-0 AFF
Acton-Boxborough WP,Lexington HH,Andrew Fostiropoulos Anjali Agarwal Reagan Williams,Neg Aff Aff,2-1 AFF
Lambert School Independent SB,Lexington PR,Romir Patel Brianna McGee Tim Scheffler,Neg Neg Aff,2-1 NEG
